Country_Name,Country_Code,2008,2009,2010,2011
Middle East & North Africa (excluding high income),MNA,1235620000000.0,1196060000000.0,1383650000000.0,1568620000000.0
Montenegro,MNE,4545674528.0,4159328980.0,4139192053.0,4538199889.0
Mongolia,MNG,5623216449.0,4583850368.0,7189481824.0,10409797649.0
Northern Mariana Islands,MNP,939000000.0,795000000.0,799000000.0,733000000.0
Mozambique,MOZ,11494837053.0,10911698204.0,10154238250.0,13131168012.0
Mauritania,MRT,4031048268.0,3662282133.0,4337794151.0,5166346516.0
Mauritius,MUS,9990370016.0,9128843109.0,10003670690.0,11518393367.0
Malawi,MWI,5321012192.0,6191127665.0,6959655571.0,8004000737.0
Malaysia,MYS,230814000000.0,202258000000.0,255017000000.0,297952000000.0
North America,NAC,16268100000000.0,15825900000000.0,16611300000000.0,17337300000000.0
Namibia,NAM,8486721917.0,8876191121.0,11282192605.0,12409629836.0
Niger,NER,5379299888.0,5373097441.0,5718664505.0,6409184724.0
Nigeria,NGA,337036000000.0,291880000000.0,363360000000.0,410335000000.0
Nicaragua,NIC,8496965842.0,8298695145.0,8758622329.0,9774316692.0
Netherlands,NLD,947998000000.0,868077000000.0,846555000000.0,904086000000.0
Norway,NOR,462554000000.0,386622000000.0,429131000000.0,498832000000.0
Nepal,NPL,12545438605.0,12854985464.0,16002656434.0,18913574371.0
Nauru,NRU,39292928.31,44294351.76,49234059.72,72682692.54
New Zealand,NZL,133280000000.0,121339000000.0,146584000000.0,168462000000.0
OECD members,OED,45581700000000.0,42671800000000.0,44700100000000.0,48031400000000.0
Oman,OMN,60905331599.0,48388296489.0,58642392718.0,67937581274.0
Other small states,OSS,325929000000.0,279233000000.0,324670000000.0,401019000000.0
Pakistan,PAK,170078000000.0,168153000000.0,177407000000.0,213587000000.0
Panama,PAN,25155888600.0,27116635600.0,29440300000.0,34686200000.0
Peru,PER,120551000000.0,120823000000.0,147529000000.0,171762000000.0
Philippines,PHL,174195000000.0,168335000000.0,199591000000.0,224143000000.0
Palau,PLW,196859300.0,182704300.0,182863000.0,193235600.0
Papua New Guinea,PNG,11670678864.0,11619541940.0,14250726290.0,17984816533.0
Poland,POL,533816000000.0,439796000000.0,479321000000.0,528832000000.0
Pre-demographic dividend,PRE,951375000000.0,857558000000.0,1014760000000.0,1184970000000.0
Puerto Rico,PRI,93639300000.0,96385600000.0,98381300000.0,100352000000.0
Portugal,PRT,262008000000.0,243746000000.0,238303000000.0,244895000000.0
Paraguay,PRY,24578067861.0,22341754514.0,27215968616.0,33715524704.0
West Bank and Gaza,PSE,6673500000.0,7268200000.0,8913100000.0,10465400000.0
Pacific island small states,PSS,6556133688.0,5776686942.0,6416533301.0,7632301836.0
Post-demographic dividend,PST,43219200000000.0,40729400000000.0,42467900000000.0,45585700000000.0
Qatar,QAT,115270000000.0,97798351648.0,125122000000.0,167775000000.0
Romania,ROU,214314000000.0,174104000000.0,166225000000.0,183443000000.0
Russian Federation,RUS,1660850000000.0,1222640000000.0,1524920000000.0,2051660000000.0
Rwanda,RWA,4867560259.0,5373088997.0,5783152633.0,6563320570.0
South Asia,SAS,1527500000000.0,1683490000000.0,2061060000000.0,2271880000000.0
Saudi Arabia,SAU,519797000000.0,429098000000.0,528207000000.0,671239000000.0
Sudan,SDN,54526580232.0,53150209168.0,65634109237.0,67327289320.0
Senegal,SEN,16949789465.0,16248212852.0,16215069256.0,17878780185.0
Singapore,SGP,193612000000.0,194152000000.0,239809000000.0,279351000000.0
Solomon Islands,SLB,608229326.7,597765363.1,681151190.0,932725578.8
Sierra Leone,SLE,2505458705.0,2453899847.0,2578026297.0,2942546781.0
El Salvador,SLV,17986886200.0,17601616000.0,18447920000.0,20283780000.0
San Marino,SMR,2752307016.0,2363156432.0,2139072848.0,2054489853.0
Serbia,SRB,52194221469.0,45162894381.0,41819468692.0,49258136129.0
Sub-Saharan Africa (excluding high income),SSA,1208800000000.0,1147230000000.0,1368770000000.0,1551470000000.0
South Sudan,SSD,15550136279.0,12231362023.0,15727363443.0,17826697892.0
Sub-Saharan Africa,SSF,1209760000000.0,1148080000000.0,1369740000000.0,1552540000000.0
Small states,SST,401592000000.0,343189000000.0,394373000000.0,477074000000.0
Sao Tome and Principe,STP,188021168.8,187821029.0,197454052.1,233213521.7
Suriname,SUR,3532961749.0,3875555556.0,4368398048.0,4422276622.0
Slovak Republic,SVK,100325000000.0,88945625174.0,89501012916.0,98181259740.0
Slovenia,SVN,55589849128.0,50244793832.0,48013606745.0,51290792018.0
Sweden,SWE,514585000000.0,430114000000.0,488909000000.0,563797000000.0
Eswatini,SWZ,3294093485.0,3580417067.0,4438778424.0,4820499924.0
Seychelles,SYC,967199594.0,847397850.1,969936525.3,1065826670.0
Turks and Caicos Islands,TCA,862683630.0,703175750.0,686787810.0,728789570.0
Chad,TCD,10351932604.0,9253484108.0,10657705536.0,12156380425.0
East Asia & Pacific (IDA & IBRD countries),TEA,5975960000000.0,6477920000000.0,7853670000000.0,9596180000000.0
Europe & Central Asia (IDA & IBRD countries),TEC,3915050000000.0,3105900000000.0,3639000000000.0,4423150000000.0
Togo,TGO,3310277927.0,3365711796.0,3426022206.0,3867391618.0
Thailand,THA,291383000000.0,281710000000.0,341105000000.0,370819000000.0
Tajikistan,TJK,5161337336.0,4979481980.0,5642178580.0,6522732203.0
Turkmenistan,TKM,19271523179.0,20214385965.0,22583157895.0,29233333333.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,4402420000000.0,4123880000000.0,5152620000000.0,5877990000000.0
Timor-Leste,TLS,4391368105.0,3199666691.0,3998961314.0,5672048723.0
Middle East & North Africa (IDA & IBRD countries),TMN,1229020000000.0,1188830000000.0,1374750000000.0,1558160000000.0
Tonga,TON,349484427.6,318166562.8,369485198.8,423011844.3
South Asia (IDA & IBRD),TSA,1527500000000.0,1683490000000.0,2061060000000.0,2271880000000.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1209760000000.0,1148080000000.0,1369740000000.0,1552540000000.0
Trinidad and Tobago,TTO,27871587350.0,19172165226.0,22157948396.0,25433011405.0
Tunisia,TUN,44856586316.0,43454935940.0,44050929160.0,45810626509.0
Turkey,TUR,764336000000.0,644640000000.0,771902000000.0,832524000000.0
Tuvalu,TUV,30290770.26,27101312.79,31824701.28,38713279.62
Tanzania,TZA,27941177435.0,29081425282.0,32014249841.0,34657139495.0
Uganda,UGA,14239026630.0,18168902154.0,20186496527.0,20176025257.0
Ukraine,UKR,179817000000.0,117113000000.0,136013000000.0,163160000000.0
Upper middle income,UMC,13583100000000.0,13078200000000.0,15856600000000.0,18969600000000.0
Uruguay,URY,30366213119.0,31660911277.0,40284481652.0,47962439304.0
United States,USA,14712800000000.0,14448900000000.0,14992100000000.0,15542600000000.0
Uzbekistan,UZB,29549438884.0,33689223673.0,39332770929.0,45915191189.0
St. Vincent and the Grenadines,VCT,695428851.9,674922481.5,681225963.0,676129407.4
"Venezuela, RB",VEN,315953000000.0,329788000000.0,393192000000.0,316482000000.0
Virgin Islands (U.S.),VIR,4250000000.0,4203000000.0,4339000000.0,4239000000.0
Vietnam,VNM,99130304099.0,106015000000.0,115932000000.0,135539000000.0
Vanuatu,VUT,607958616.1,610066628.7,700804286.2,792149700.7
World,WLD,63616100000000.0,60340100000000.0,66036900000000.0,73357400000000.0
Samoa,WSM,644132488.9,560959527.8,643046733.4,739785121.9
Kosovo,XKX,5687417607.0,5653792720.0,5830463576.0,6691826522.0
"Yemen, Rep.",YEM,26910851362.0,25130274124.0,30906749533.0,32726417878.0
South Africa,ZAF,286769000000.0,295937000000.0,375348000000.0,416417000000.0
Zambia,ZMB,17910858638.0,15328342304.0,20265556274.0,23460098340.0
Zimbabwe,ZWE,4415702800.0,9665793300.0,12041655200.0,14101920300.0
